cidade_slug,cidade_origem,vende_ftth,vende_5g,vende_fwa,lancamento_comercial
carire-ce,CARIRE/CE,false,true,true,2024-01-11
chaval-ce,CHAVAL/CE,true,true,false,2024-12-06
umarizal-rn,UMARIZAL/RN,false,true,true,2024-11-12
acarape-ce,ACARAPE/CE,true,true,true,2024-06-05
cruz-do-espirito-santo-pb,CRUZ DO ESPIRITO SANTO/PB,false,true,false,2024-07-12
mucambo-ce,MUCAMBO/CE,false,true,true,2025-05-14
alto-do-rodrigues-rn,ALTO DO RODRIGUES/RN,false,true,true,2024-07-24
acari-rn,ACARI/RN,false,true,true,2024-10-18
juazeirinho-pb,JUAZEIRINHO/PB,false,true,true,2024-10-16
barroquinha-ce,BARROQUINHA/CE,false,true,true,2024-12-17
patu-rn,PATU/RN,false,true,true,2024-11-04
arara-pb,ARARA/PB,false,true,true,2024-09-03
carnaubal-ce,CARNAUBAL/CE,false,true,true,2024-03-11
alexandria-rn,ALEXANDRIA/RN,false,true,true,2024-12-09
pendencias-rn,PENDENCIAS/RN,true,true,false,2024-02-14
itatira-ce,ITATIRA/CE,false,true,true,2024-10-22
madalena-ce,MADALENA/CE,true,true,false,2024-12-26
croata-ce,CROATA/CE,true,true,false,2024-07-18
angicos-rn,ANGICOS/RN,false,true,true,2024-10-09
umirim-ce,UMIRIM/CE,true,true,false,2024-09-10
caridade-ce,CARIDADE/CE,false,true,true,2024-09-03
nova-olinda-ce,NOVA OLINDA/CE,false,true,true,2024-07-29
cha-de-alegria-pe,CHA DE ALEGRIA/PE,false,true,true,2024-04-02
soledade-pb,SOLEDADE/PB,false,true,true,2024-11-04
barra-de-guabiraba-pe,BARRA DE GUABIRABA/PE,false,true,true,2024-11-29
ibiapina-ce,IBIAPINA/CE,false,true,true,2025-05-29
uirauna-pb,UIRAUNA/PB,true,true,true,2024-01-16
brejo-do-cruz-pb,BREJO DO CRUZ/PB,true,true,true,2024-09-10
jardim-de-piranhas-rn,JARDIM DE PIRANHAS/RN,true,true,false,2024-11-27
morrinhos-ce,MORRINHOS/CE,true,true,false,2024-11-22
independencia-ce,INDEPENDENCIA/CE,false,true,false,2024-08-27
jucurutu-rn,JUCURUTU/RN,true,true,false,2025-12-05
cruz-ce,CRUZ/CE,false,true,true,2024-06-26
frei-paulo-se,FREI PAULO/SE,true,true,false,2024-10-10
icapui-ce,ICAPUI/CE,false,true,true,2024-12-13
chorozinho-ce,CHOROZINHO/CE,false,true,false,2024-09-30
cha-grande-pe,CHA GRANDE/PE,false,true,true,2024-07-16
aurora-ce,AURORA/CE,false,true,true,2025-05-06
ferreiros-pe,FERREIROS/PE,false,true,true,2024-08-23
jijoca-de-jericoacoara-ce,JIJOCA DE JERICOACOARA/CE,false,true,true,2025-05-06
varjota-ce,VARJOTA/CE,true,true,false,2024-12-17
bananeiras-pb,BANANEIRAS/PB,false,true,true,2024-06-05
santa-luzia-pb,SANTA LUZIA/PB,false,true,true,2025-04-23
caraubas-rn,CARAUBAS/RN,true,true,true,2025-05-26
tamboril-ce,TAMBORIL/CE,true,true,false,2024-09-24
luis-correia-pi,LUIS CORREIA/PI,false,true,true,2024-06-26
quixere-ce,QUIXERE/CE,true,true,true,2025-05-06
oros-ce,OROS/CE,true,true,true,2025-06-03
novo-oriente-ce,NOVO ORIENTE/CE,true,true,true,2024-05-03
uruburetama-ce,URUBURETAMA/CE,true,true,true,2024-07-18
itarema-ce,ITAREMA/CE,false,true,false,2024-10-16
iraucuba-ce,IRAUCUBA/CE,false,true,true,2024-09-03
rio-tinto-pb,RIO TINTO/PB,false,true,false,2024-09-30
missao-velha-ce,MISSAO VELHA/CE,true,true,false,2024-08-23
amontada-ce,AMONTADA/CE,false,true,true,2024-11-27
redencao-ce,REDENCAO/CE,true,true,true,2025-02-21
piranhas-al,PIRANHAS/AL,false,true,false,2024-12-17
taquaritinga-do-norte-pe,TAQUARITINGA DO NORTE/PE,false,true,true,2024-10-22
