cidade_slug,cidade_origem,tecnologia,mes_ref,total_vendedores,q1,q2,q3,q4,q5,sem_meta,atingimento_medio,quintil_cidade
joao-pessoa-pb,JOAO PESSOA/PB,5g,2026-01-01,27,2,2,0,0,0,23,0.9882,2
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,ftth,2026-01-01,25,1,6,1,13,4,0,0.5269,4
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,2026-01-01,25,2,2,3,2,0,16,0.7879,3
juazeiro-ba,JUAZEIRO/BA,ftth,2026-01-01,9,5,2,1,0,1,0,1.2062,1
lagarto-se,LAGARTO/SE,ftth,2026-01-01,1,1,0,0,0,0,0,1.5385,1
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,ftth,2026-01-01,3,1,0,1,1,0,0,0.6736,3
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,5g,2026-01-01,3,0,1,0,1,1,0,0.451,4
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,ftth,2026-01-01,6,2,2,0,1,0,1,0.8333,2
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,5g,2026-01-01,6,3,0,0,2,0,1,0.8638,2
limoeiro-pe,LIMOEIRO/PE,ftth,2026-01-01,2,2,0,0,0,0,0,1.1667,1
luis-correia-pi,LUIS CORREIA/PI,ftth,2026-01-01,1,0,0,0,1,0,0,0.4286,4
macaiba-rn,MACAIBA/RN,ftth,2026-01-01,6,1,0,2,1,2,0,0.5762,4
macaiba-rn,MACAIBA/RN,5g,2026-01-01,6,1,0,0,0,0,5,1.25,1
macau-rn,MACAU/RN,ftth,2026-01-01,2,0,0,1,0,1,0,0.4333,4
macau-rn,MACAU/RN,5g,2026-01-01,2,1,0,0,1,0,0,0.975,2
maceio-al,MACEIO/AL,ftth,2026-01-01,1,1,0,0,0,0,0,1.25,1
major-sales-rn,MAJOR SALES/RN,ftth,2026-01-01,3,2,0,0,0,1,0,1.0444,1
major-sales-rn,MAJOR SALES/RN,5g,2026-01-01,3,2,0,0,0,1,0,0.8462,2
maracanau-ce,MARACANAU/CE,ftth,2026-01-01,10,2,0,3,3,2,0,0.6531,3
maracanau-ce,MARACANAU/CE,5g,2026-01-01,10,1,2,1,0,0,6,0.9731,2
maranguape-ce,MARANGUAPE/CE,ftth,2026-01-01,10,3,1,1,1,4,0,0.5022,4
maranguape-ce,MARANGUAPE/CE,5g,2026-01-01,10,2,0,0,0,0,8,1.1563,1
milagres-ce,MILAGRES/CE,ftth,2026-01-01,3,1,0,1,0,1,0,0.7449,3
milagres-ce,MILAGRES/CE,5g,2026-01-01,3,1,1,0,0,1,0,0.725,3
missao-velha-ce,MISSAO VELHA/CE,ftth,2026-01-01,3,0,0,2,1,0,0,0.5688,4
