cidade_slug,cidade_origem,tecnologia,indicador_id,canal,mes_ref,semana_mes,primeiro_dia_semana,ultimo_dia_semana,valor
iraucuba-ce,IRAUCUBA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,6
itabaiana-pb,ITABAIANA/PB,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,1
itaicaba-ce,ITAICABA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,11
itaitinga-ce,ITAITINGA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,119
itaitinga-ce,ITAITINGA/CE,5g,ativacao,B2B,2025-09-01,2,2025-09-08,2025-09-14,1
itaitinga-ce,ITAITINGA/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,1
itaitinga-ce,ITAITINGA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,2
itaitinga-ce,ITAITINGA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,7
itaitinga-ce,ITAITINGA/CE,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,6
itaitinga-ce,ITAITINGA/CE,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,5
itaitinga-ce,ITAITINGA/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,8
itaitinga-ce,ITAITINGA/CE,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,2
itaja-rn,ITAJA/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,7
itapaje-ce,ITAPAJE/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,1
itapaje-ce,ITAPAJE/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,7
itapaje-ce,ITAPAJE/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,26
itapetim-pe,ITAPETIM/PE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
itapipoca-ce,ITAPIPOCA/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,1
itapipoca-ce,ITAPIPOCA/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,5
itapipoca-ce,ITAPIPOCA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,19
itapipoca-ce,ITAPIPOCA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,37
